Time,TempA(K),TempB(K),Voltage(V)
 13:01:24.907 2022/12/22,2.971900E+2,0.000000E+0,3.230000E-1
 13:01:25.967 2022/12/22,2.971900E+2,0.000000E+0,3.150000E-1
 13:01:27.022 2022/12/22,2.971900E+2,0.000000E+0,2.710000E-1
 13:01:28.083 2022/12/22,2.971900E+2,0.000000E+0,2.792000E-1
 13:01:29.144 2022/12/22,2.971900E+2,0.000000E+0,3.180000E-1
 13:01:30.201 2022/12/22,2.971900E+2,0.000000E+0,3.140000E-1
 13:01:31.265 2022/12/22,2.971900E+2,0.000000E+0,2.780000E-1
 13:01:32.320 2022/12/22,2.972000E+2,0.000000E+0,2.815000E-1
 13:01:33.376 2022/12/22,2.972100E+2,0.000000E+0,2.770000E-1
 13:01:34.445 2022/12/22,2.972100E+2,0.000000E+0,2.730000E-1
 13:01:35.509 2022/12/22,2.972300E+2,0.000000E+0,3.170000E-1
 13:01:36.563 2022/12/22,2.972500E+2,0.000000E+0,3.250000E-1
 13:01:37.620 2022/12/22,2.972400E+2,0.000000E+0,3.020000E-1
 13:01:38.684 2022/12/22,2.972400E+2,0.000000E+0,2.700000E-1
 13:01:39.745 2022/12/22,2.972500E+2,0.000000E+0,3.180000E-1
 13:01:40.805 2022/12/22,2.972400E+2,0.000000E+0,3.190000E-1
 13:01:41.864 2022/12/22,2.972300E+2,0.000000E+0,2.720000E-1
 13:01:42.920 2022/12/22,2.972300E+2,0.000000E+0,2.950000E-1
 13:01:43.981 2022/12/22,2.972400E+2,0.000000E+0,2.700000E-1
 13:01:45.046 2022/12/22,2.972300E+2,0.000000E+0,3.150000E-1
 13:01:46.092 2022/12/22,2.972100E+2,0.000000E+0,2.776000E-1
 13:01:47.153 2022/12/22,2.972100E+2,0.000000E+0,3.000000E-1
 13:01:48.214 2022/12/22,2.972100E+2,0.000000E+0,2.720000E-1
 13:01:49.268 2022/12/22,2.972200E+2,0.000000E+0,3.010000E-1
 13:01:50.327 2022/12/22,2.972100E+2,0.000000E+0,2.840000E-1
 13:01:51.383 2022/12/22,2.972100E+2,0.000000E+0,2.790000E-1
 13:01:52.447 2022/12/22,2.972200E+2,0.000000E+0,3.110000E-1
 13:01:53.502 2022/12/22,2.972300E+2,0.000000E+0,3.180000E-1
 13:01:54.562 2022/12/22,2.972300E+2,0.000000E+0,3.130000E-1
 13:01:55.622 2022/12/22,2.972300E+2,0.000000E+0,2.940000E-1
 13:01:56.681 2022/12/22,2.972300E+2,0.000000E+0,2.910000E-1
 13:01:57.733 2022/12/22,2.972400E+2,0.000000E+0,2.700000E-1
